name;id;price;brand;category;spec;img_url
Apple iPad Pro (2020) 12.9 pouces 128 Go Wi-Fi Gris Sidéral;AR202003200031;1119.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 128 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/65/LD0005636562_2.jpg
Apple iPad Pro (2020) 12.9 pouces 128 Go Wi-Fi Argent;AR202003200036;1119.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 128 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/63/LD0005636317_2.jpg
"Samsung Galaxy Tab S7+ 12.4&quot; SM-T970 256 Go Mystic Black Wi-Fi";AR202008040032;999.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 865 Plus Octo-Core 1.8 GHz - RAM 8 Go - 256 Go - Écran Super AMOLED 12.4"" 120Hz - Wi-Fi/Bluetooth - Webcam - 10 090 mAh - S Pen - Android 10";https://media.ldlc.com/r150/ld/products/00/05/70/55/LD0005705527_1_0005705537.jpg
Apple iPad Air (2020) Wi-Fi 256 Go Bleu ciel;AR202009170065;839.95;Apple;Tablette tactile;"Tablette Internet - Apple A14 Bionic 64 bits - eMMC 256 Go - Écran 10.9"" LED tactile - Wi-Fi AX/Bluetooth 5.0 - Webcam - USB-C - iPadOS 14";https://media.ldlc.com/r150/ld/products/00/05/72/17/LD0005721710_1_0005721718.jpg
Apple iPad Pro (2020) 12.9 pouces 256 Go Wi-Fi Gris Sidéral;AR202003190079;1229.95;Apple;Tablette tactile;"Tablette Internet - Apple A12Z Bionic 64 bits - 6 Go - eMMC 256 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/65/LD0005636562_2_0005636590_0005636610_0005636630.jpg
"Samsung Galaxy Tab S5e 10.5&quot; SM-T720 128 Go Gris Wi-Fi";AR201903270018;499.94;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 670 Octo-Core 2 GHz - RAM 6 Go - 128 Go - Écran Super AMOLED 10.5"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/26/88/LD0005268822_2.jpg
Apple iPad Air (2020) Wi-Fi 64 Go Vert;AR202009170061;669.95;Apple;Tablette tactile;"Tablette Internet - Apple A14 Bionic 64 bits - eMMC 64 Go - Écran 10.9"" LED tactile - Wi-Fi AX/Bluetooth 5.0 - Webcam - USB-C - iPadOS 14";https://media.ldlc.com/r150/ld/products/00/05/72/17/LD0005721730_1.jpg
"Samsung Galaxy Tab S5e 10.5&quot; SM-T720 64 Go Noir Wi-Fi";AR201903270021;439.96;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 670 Octo-Core 2 GHz - RAM 4 Go - 64 Go - Écran Super AMOLED 10.5"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/26/82/LD0005268297_2.jpg
"Samsung Galaxy Tab S7 11&quot; SM-T870 128 Go Mystic Black Wi-Fi";AR202008040020;749.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 865 Plus Octo-Core 1.8 GHz - RAM 6 Go - 128 Go - Écran LTPS 11"" 120Hz - Wi-Fi/Bluetooth - Webcam - 8000 mAh - S Pen - Android 10";https://media.ldlc.com/r150/ld/products/00/05/70/54/LD0005705448_1.jpg
"Samsung Galaxy Tab A7 10.4&quot; SM-T505 64 Go Gris 4G";AR202010020047;379.94;Samsung;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Snapdragon 662 Octo-Core 2 GHz - RAM 3 Go - 64 Go - Écran 10.4"" WUXGA+ - Wi-Fi/Bluetooth - Webcam - USB-C - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/73/37/LD0005733773_1_0005733800_0005733810.jpg
Apple iPad Air (2020) Wi-Fi 64 Go Or Rose;AR202009170059;669.95;Apple;Tablette tactile;"Tablette Internet - Apple A14 Bionic 64 bits - eMMC 64 Go - Écran 10.9"" LED tactile - Wi-Fi AX/Bluetooth 5.0 - Webcam - USB-C - iPadOS 14";https://media.ldlc.com/r150/ld/products/00/05/72/17/LD0005721722_1.jpg
"Samsung Galaxy Tab S5e 10.5&quot; SM-T720 64 Go Gris Wi-Fi";AR201903270020;439.96;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 670 Octo-Core 2 GHz - RAM 4 Go - 64 Go - Écran Super AMOLED 10.5"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/26/87/LD0005268797_2.jpg
"Samsung Galaxy Tab S6 Lite 10.4&quot; SM-P615 64 Go Gris Wi-Fi 4G LTE";AR202004200135;469.94;Samsung;Tablette tactile;"Tablette Internet 4G-LTE - Samsung Exynos 7 9611 8-Core 2.3 GHz / 1.7 GHz - RAM 4 Go - 64 Go - Écran LED IPS 10.4"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 10";https://media.ldlc.com/r150/ld/products/00/05/66/09/LD0005660964_2_0005661032.jpg
"Samsung Galaxy Tab S7+ 12.4&quot; SM-T976 256 Go Mystic Black 5G";AR202008040033;1199.95;Samsung;Tablette tactile;"Tablette Internet - Snapdragon 865 Plus Octo-Core 1.8 GHz - RAM 8 Go - 256 Go - Écran Super AMOLED 12.4"" 120Hz - Wi-Fi/Bluetooth/5G - Webcam - 10 090 mAh - S Pen - Android 10";https://media.ldlc.com/r150/ld/products/00/05/70/55/LD0005705527_1_0005705542_0005705547.jpg
Apple iPad (Gen 8) Wi-Fi + Cellular 128 Go Argent;AR202009170039;629.95;Apple;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Apple A12 Bionic - eMMC 128 Go - 10.2"" LED tactile - Wi-Fi AC/Bluetooth - Webcam - iPadOS 14 - Compatible Apple Pencil / Smart Keyboard";https://media.ldlc.com/r150/ld/products/00/05/72/14/LD0005721403_1_0005721407_0005721422.jpg
"Samsung Galaxy Tab S5e 10.5&quot; SM-T725 128 Go Noir 4G";AR201903270017;629.95;Samsung;Tablette tactile;"Tablette Internet 4G-LTE - Snapdragon 670 Octo-Core 2 GHz - RAM 6 Go - 128 Go - Écran Super AMOLED 10.5"" - Wi-Fi/Bluetooth - Webcam - 7040 mAh - Android 9.0";https://media.ldlc.com/r150/ld/products/00/05/26/82/LD0005268297_2_0005268969_0005269067.jpg
Apple iPad mini 5 Wi-Fi 64 Go Argent;AR201903280057;459.95;Apple;Tablette tactile;"Tablette Internet - Apple A12 Bionic 64 bits - 3 Go - eMMC 64 Go - Écran 7.9"" LED tactile - Wi-Fi AC / Bluetooth - Webcam - Lightning - iOS 12";https://media.ldlc.com/r150/ld/products/00/05/27/23/LD0005272306_2.jpg
Apple iPad Pro (2020) 12.9 pouces 512 Go Wi-Fi + Cellular Gris Sidéral;AR202003200024;1619.95;Apple;Tablette tactile;"Tablette Internet 4G-LTE Advanced - Apple A12Z Bionic 64 bits - 6 Go - eMMC 512 Go - Écran 12.9"" LED IPS tactile - Wi-Fi AX / Bluetooth 5 - Webcam - USB-C - iPadOS";https://media.ldlc.com/r150/ld/products/00/05/63/64/LD0005636477_2_0005636520.jpg
Apple iPad Air (2020) Wi-Fi 256 Go Gris Sidéral;AR202009170062;839.95;Apple;Tablette tactile;"Tablette Internet - Apple A14 Bionic 64 bits - eMMC 256 Go - Écran 10.9"" LED tactile - Wi-Fi AX/Bluetooth 5.0 - Webcam - USB-C - iPadOS 14";https://media.ldlc.com/r150/ld/products/00/05/72/16/LD0005721678_1_0005721687.jpg
