name;id;price;brand;category;spec;img_url
Apple Watch Series 6 GPS + Cellular Aluminium Space Gray Bracelet Sport Black 44 mm;AR202009160236;559.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/13/LD0005721330_1.jpg
Yonis Montre Connectée Femme universelle Rose Y-10696;MK200910084520;55.98;Yonis;Montre connectée;Montre Connectée Femme iOs Android Smartwatch Sport Cardio Rose;https://media.ldlc.com/r150/mkp/0e9c74e5d729427e8d42d1431c7d1508.jpeg
Apple Watch SE GPS Silver Aluminium Bracelet Sport White 40 mm;AR202009160187;299.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina  - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721029_1.jpg
Apple Watch SE GPS + Cellular Space Gray Aluminium Bracelet Sport Charcoal 44 mm;AR202009160204;379.94;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina  - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/12/LD0005721256_1.jpg
Samsung Galaxy Watch 3 4G (45 mm / Noir);AR202007280007;509.95;Samsung;Montre connectée;"Montre connectée 4G - 45 mm - certifiée IP68 - RAM 1 Go - écran Super AMOLED 1.4"" - 8 Go - NFC/Wi-Fi/Bluetooth 5.0 - 340 mAh - Tizen OS 5.5";https://media.ldlc.com/r150/ld/products/00/05/70/28/LD0005702868_1.jpg
Apple Watch Nike Series 6 GPS Aluminium Silver Bracelet Sport Pure Platinum Black 40 mm;AR202009160171;429.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/12/LD0005721236_1.jpg
Apple Watch SE GPS Gold Aluminium Bracelet Sport Pink Sand 44 mm;AR202009160191;329.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina  - Wi-Fi 2,4 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721044_1.jpg
Apple Watch Series 6 GPS Aluminium Silver Bracelet Sport White 44 mm;AR202009160206;459.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721039_1.jpg
Apple Watch Series 6 GPS + Cellular Aluminium Space Gray Bracelet Sport Black 40 mm;AR202009160213;529.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/18/LD0005721898_1.jpg
Apple Watch Series 6 GPS Aluminium Space Gray Bracelet Sport Black 40 mm;AR202009160231;429.95;Apple;Montre connectée;Montre connectée - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 40 mm;https://media.ldlc.com/r150/ld/products/00/05/72/10/LD0005721064_1.jpg
Apple Watch Series 6 GPS + Cellular Aluminium Gold Bracelet Pink Sand 44 mm;AR202009160235;559.94;Apple;Montre connectée;Montre connectée 4G - Aluminium - Étanche - GPS - Cardiofréquencemètre - Écran Retina Always On - Wi-Fi 5 GHz / Bluetooth - watchOS 7 - Bracelet Sport 44 mm;https://media.ldlc.com/r150/ld/products/00/05/72/16/LD0005721615_1.jpg
CGV GEKO Watch X1;AR202011260072;59.95;CGV;Montre connectée;"Montre connectée - Etanche 5m - Cardiofréquencemètre - 9 modes sport - Ecran LCD couleur 1.3"" - Bluetooth 5.0 - 260 mAh";https://media.ldlc.com/r150/ld/products/00/05/75/92/LD0005759286_1.jpg
